# Time-averaged data for fix mNm2
# TimeStep v_ETens v_SZZ v_SXX v_Fx v_Fy v_Fz v_strain v_ETens v_diameter
17600 26.5804 114413 33178.9 -6.26873e-16 -6.67869e-19 2.31588e-16 -3.39244 26.5804 -18.374
17700 26.5837 114259 32874.9 -1.95542e-16 -3.65485e-18 2.14362e-16 -3.3957 26.5837 -18.399
17800 26.5869 114097 32571.2 -7.86133e-16 -1.60462e-19 1.31956e-16 -3.39896 26.5869 -18.424
17900 26.5902 113927 32267.4 -1.0701e-15 1.59052e-18 1.57441e-16 -3.40221 26.5902 -18.449
18000 26.5934 113748 31963.5 -6.38955e-16 3.14852e-18 1.6484e-16 -3.40547 26.5934 -18.474
18100 26.5967 113562 31659 5.27061e-16 -2.73978e-18 2.8675e-16 -3.40872 26.5967 -18.499
18200 26.6 113368 31353.9 8.46966e-16 9.24824e-19 4.14586e-16 -3.41198 26.6 -18.524
18300 26.6032 113167 31047.8 7.23592e-16 -1.75207e-18 4.2919e-16 -3.41523 26.6032 -18.549
18400 26.6065 112959 30740.6 1.09698e-15 -1.01698e-18 3.83257e-16 -3.41849 26.6065 -18.574
18500 26.6097 112743 30432 1.52166e-15 -3.35669e-18 3.02284e-16 -3.42174 26.6097 -18.599
18600 26.613 112521 30121.8 1.46258e-15 6.97034e-18 1.51027e-16 -3.425 26.613 -18.624
18700 26.6162 112293 29809.9 2.17639e-15 1.33248e-18 2.23578e-16 -3.42825 26.6162 -18.649
18800 26.6195 112058 29495.9 1.87257e-15 2.37549e-18 2.59597e-16 -3.43151 26.6195 -18.674
18900 26.6227 111818 29179.8 2.17885e-15 2.36139e-18 2.29621e-16 -3.43476 26.6227 -18.699
19000 26.626 111572 28861.3 2.47146e-15 2.39283e-18 4.31469e-16 -3.43802 26.626 -18.724
19100 26.6292 111320 28540.3 2.70282e-15 4.32597e-19 4.13914e-16 -3.44127 26.6292 -18.749
19200 26.6325 111063 28216.6 2.55781e-15 3.39572e-18 1.76146e-16 -3.44453 26.6325 -18.774
19300 26.6358 110801 27889.9 1.7079e-15 -6.83047e-20 -1.14839e-17 -3.44778 26.6358 -18.799
19400 26.639 110535 27560.1 1.03615e-15 -1.83122e-18 -2.18772e-16 -3.45104 26.639 -18.824
19500 26.6423 110266 27227 1.51748e-15 -2.39067e-18 -3.26785e-16 -3.45429 26.6423 -18.849
19600 26.6455 109992 26890.5 1.83601e-15 4.7011e-18 -2.95705e-17 -3.45755 26.6455 -18.874
19700 26.6488 109716 26550.2 8.51689e-16 6.81963e-19 1.37911e-17 -3.4608 26.6488 -18.899
19800 26.652 109438 26206 3.52934e-16 1.7911e-18 1.00941e-16 -3.46406 26.652 -18.924
19900 26.6553 109157 25857.6 2.55672e-16 -9.29161e-19 1.2642e-16 -3.46731 26.6553 -18.949
20000 26.6585 108876 25504.9 1.40057e-16 1.53848e-18 2.87448e-16 -3.47057 26.6585 -18.974
